Category,Word,Frequency
Behavioral,state,139
Behavioral,design,69
Behavioral,method,66
Structural,interface,62
Creational,factory,61
Behavioral,used,53
Structural,implementation,50
Structural,design,50
Behavioral,code,48
Behavioral,command,48
Creational,create,48
Behavioral,different,46
Behavioral,request,45
Behavioral,algorithm,44
Behavioral,elements,41
Behavioral,visitor,41
Behavioral,mediator,40
Behavioral,client,39
Creational,instance,39
Behavioral,data,38
Structural,classes,38
Behavioral,structure,36
Structural,proxy,36
Structural,used,35
Creational,design,35
Behavioral,coupling,34
Behavioral,need,34
Behavioral,steps,34
Behavioral,chain,34
Structural,client,34
Behavioral,memento,33
Creational,new,33
Behavioral,change,32
Behavioral,interface,32
Structural,flyweight,32
Behavioral,may,30
Behavioral,subject,30
Structural,use,30
Behavioral,behavior,29
Behavioral,new,29
Behavioral,implementation,29
Behavioral,operation,29
Behavioral,observer,29
Behavioral,changes,28
Behavioral,these,28
Behavioral,will,28
Behavioral,allows,28
Behavioral,collection,28
Structural,subsystem,28
Behavioral,communication,27
Structural,abstraction,27
Creational,method,27
Creational,creation,27
Behavioral,provide,26
Behavioral,defines,26
Behavioral,abstract,26
Structural,access,26
Structural,provides,26
Creational,code,26
Behavioral,more,25
Behavioral,base,25
Behavioral,provides,25
Creational,singleton,25
Creational,abstract,25
Behavioral,define,24
Behavioral,iterator,24
Structural,real,24
Structural,facade,24
Behavioral,operations,23
Behavioral,subclasses,23
Behavioral,only,23
Behavioral,grammar,23
Behavioral,set,23
Behavioral,aggregate,23
Structural,have,23
Structural,provide,23
Creational,one,23
Creational,from,23
Creational,creating,23
Behavioral,use,22
Behavioral,methods,22
Creational,client,22
Behavioral,type,21
Behavioral,current,21
Behavioral,algorithms,21
Behavioral,receiver,21
Structural,may,21
Structural,creating,21
Creational,used,21
Behavioral,another,20
Behavioral,problem,20
Behavioral,expressions,20
Behavioral,interpreter,20
Behavioral,requests,20
Structural,would,20
Structural,functionality,20
Creational,prototype,20
Behavioral,derived,19
Behavioral,loose,19
Behavioral,observers,19
Structural,composite,19
Structural,decorator,19
Structural,underlying,19
Behavioral,solution,18
Behavioral,through,18
Behavioral,language,18
Behavioral,single,18
Structural,code,18
Structural,details,18
Structural,two,18
Structural,new,18
Structural,memory,18
Structural,bridge,18
Creational,complex,18
Creational,concrete,18
Creational,construction,18
Behavioral,user,17
Behavioral,common,17
Behavioral,list,17
Behavioral,internal,17
Behavioral,based,17
Behavioral,functionality,17
Behavioral,template,17
Behavioral,handler,17
Behavioral,allowing,17
Behavioral,originator,17
Structural,clients,17
Structural,individual,17
Creational,classes,17
Creational,builder,17
Creational,created,17
Behavioral,while,16
Behavioral,system,16
Behavioral,where,16
Behavioral,logic,16
Behavioral,users,16
Behavioral,what,16
Behavioral,way,16
Behavioral,responsibility,16
Behavioral,strategy,16
Behavioral,manner,16
Structural,number,16
Structural,without,16
Structural,inheritance,16
Structural,adapter,16
Creational,initialization,16
Creational,access,16
Behavioral,app,15
Behavioral,works,15
Behavioral,such,15
Behavioral,multiple,15
Behavioral,access,15
Behavioral,group,15
Behavioral,processing,15
Structural,example,15
Structural,need,15
Structural,component,15
Structural,complex,15
Structural,incompatible,15
Behavioral,they,14
Behavioral,specific,14
Behavioral,into,14
Behavioral,want,14
Behavioral,create,14
Behavioral,approach,14
Behavioral,how,14
Behavioral,states,14
Behavioral,model,14
Behavioral,process,14
Behavioral,four,14
Behavioral,invoker,14
Structural,create,14
Structural,one,14
Structural,abstract,14
Structural,manner,14
Creational,using,14
Behavioral,node,13
Behavioral,should,13
Behavioral,creating,13
Behavioral,store,13
Behavioral,hierarchy,13
Behavioral,itself,13
Behavioral,perform,13
Structural,problem,13
Structural,data,13
Structural,types,13
Structural,add,13
Structural,existing,13
Structural,interfaces,13
Structural,defines,13
Structural,behavior,13
Structural,same,13
Creational,same,13
Creational,constructor,13
Creational,have,13
Creational,without,13
Creational,allows,13
Behavioral,represent,12
Behavioral,there,12
Behavioral,over,12
Behavioral,n't,12
Behavioral,concrete,12
Behavioral,time,12
Behavioral,implementing,12
Behavioral,easily,12
Behavioral,no,12
Behavioral,defined,12
Behavioral,lets,12
Behavioral,separate,12
Behavioral,controlling,12
Behavioral,clients,12
Behavioral,execute,12
Structural,system,12
Structural,only,12
