"Identity Management	Circle of Trust	""In such large open environments", subjects are typically registered (have accounts) with unrelated services. Subjects may have no relationships with many other services available in the open environment. It may be cumbersome for the subject to deal with multiple accounts, and it may not be secure to build new relationships with other services, since identity theft or violation of privacy can be performed by rogue services. How can we take advantage of relationships between service providers to avoid the inconvenience of multiple log-ins and to select trusted services? The solution to this problem must resolve the following forces: Service providers are numerous on public networks. It can be cumbersome, indeed impossible," for each service provider to define relations with every other provider. The service providers’ infrastructures for their subjects’ login may be implemented using different technologies.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,
"Identity Management	Identity Provider	""Each application or service may implement its own code for managing subjects’ identity information"," leading to an overloading of implementation and maintenance costs that may lead to inconsistencies across the organization’s units.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,,,,,
"Identity Management	Identity Federation	""There may be no relationship between some of the security domains accessed by a subject. Thus", subjects may have multiple unrelated identities within each security domain. Consequently, they may experience multiple and cumbersome registrations, authentications and other identityrelated tasks prior to accessing the services they need. How can we avoid the inconvenience of multiple registrations and authorizations across security domains? The solution to this problem must resolve the following forces: The identity of a user can be represented in a variety of ways in different domains. Parts of a subject’s identity within a security domain may include sensitive information that should not be disclosed to other security domains. The identity and security-related information in transit between two security domains should be kept confidential, so that eavesdropping," tampering or identity theft cannot be realized. A subject may want to access a security domain’s resources in an anonymous way.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,
"Identity Management	Liberty Alliance Identity Federation	""There may not be any relationship between service providers", thus users may have multiple unrelated accounts. Consequently, they may experience multiple and cumbersome registrations, authentications and other identityrelated tasks prior to accessing the services they need on the Internet. How can we leverage a federated identity of a user on the Internet? The solution to this problem is affected by the forces of IDENTITY FEDERATION (page 39)," and by the following additional forces: The identity of a user can be represented in a variety of ways by different services. Parts of the user’s information may need to be kept confidential and not shown to some service providers.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,,
"Authentication	Authenticator	""How can we prevent imposters from accessing our system? A malicious attacker could try to impersonate a legitimate user to gain access to their resources. This could be particularly serious if the user impersonated has a high level of privilege. How do we verify that a user intending to access the system is legitimate? The solution to this problem must resolve the following forces: Flexibility. A variety of users require access to the system and a variety of system units exist with differently sensitive assets. We need to be able to handle all this variety appropriately", or we risk security exposures. Dependability. We need to authenticate users in a reliable and secure way. This means using a robust protocol and a way to protect the results of authentication. Otherwise, users may skip authentication, or illegally modify its results, exposing the system to security violations. Cost. There are trade-offs between security and cost: more secure systems are usually more expensive. Performance. If authentication needs to be performed frequently," performance may become an issue. Frequency. We should not make subjects authenticate frequently.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,
"Authentication	Remote Authenticator/Authorizer	""A system with centralized authentication is easier to manage and potentially more secure", but it is not flexible enough for distributed systems. How can we provide authentication and authorization in a distributed environment without the need for redundant storage of rights? The solution to this problem must resolve the following forces: Non-redundancy. Storing user authentication and authorization information at multiple locations makes it redundant, difficult to administer and prone to inconsistencies. Rights transparency. Although authentication information may be stored anywhere, this location should be transparent to users. Rights consistency. Users typically work in the context of some role, and these roles should be standard across a variety of domains," at least within a company or institution. Accountability. We need a way to keep users accountable when they are accessing remote resources.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,
"Authentication	Credential	""In centralized computer systems", the authentication and authorization of a principal can be handled by that system’s operating system, middleware and/or application software; all attributes of the principal’s identity and authorization are created by and are available to the system. With distributed systems this is no longer the case. A principal’s identity, authentication and authorization on one system does not carry over to another system. If a principal is to gain appropriate access to another system, some means of conveying this information must be introduced. More broadly, this is a problem of exchanging data between trust boundaries. Within a given trust boundary, a single authority is in control, and can authenticate and make access decisions on its own. If the system is to accept requests from outside its own authority/trust boundary, the system has no inherent way of validating the identity or authorization of the entity making that request. How then do we allow external users to access some of our resources? The solution to this problem must resolve the following forces: Privacy. The user must provide enough information to grant authorization, without being exposed to intrusive data mining. Persistence. The information must be packaged and stored in a way that survives travel between systems, while allowing the data to be kept private. Authentication. The data available must be sufficient for identifying the principal to the satisfaction of the accepting system’s requirements, while disallowing others from accessing the system. Authorization. The data available must be sufficient for determining what actions the presenting principal is permitted to take within the accepting system," while also disallowing actions the principal is not permitted to take. Trust. The system accepting the credential must trust the system issuing the credential. Generation. There must be entities that produce the credentials such that other domains recognize them. Tamper freedom. It should be very difficult to falsify the credential. Validity. The credential should have an explicit temporal validity. Additional documents. It might be necessary to use the credential together with other documents. Revocation. It should be possible to revoke the credential conveniently.""	Security Patterns in Practice	SEC",,,,,,
"Access Control	Authorization	""We need a way to control access to resources", otherwise any active entity (user, process) could access any resource and we could have confidentiality and integrity problems," as well as misuse of network bandwidth or peripheral devices. How can we describe who is authorized to access specific resources in a system? The solution to this problem must resolve the following forces: Independence. The resource control structure must be independent of the type of resources and must apply to all of them. Flexibility. The resource control structure should be flexible enough to accommodate different types of subjects and resources. Modifiability. It should be easy to modify the rights of active entities in response to changes in their duties or responsibilities. Security. The resource control structure should be protected against tampering.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,,,
"Access Control	Role-Based Access Control	""For convenient administration of authorization rights", we need to have a means of factoring out rights. Otherwise, the number of individual rights is just too large; granting rights to individual users would require storing many authorization rules, and it would be hard for administrators to keep track of these rules. It is also hard to associate semantic meanings to the rules. How can we reduce the number of rules and make their semantics clearer? The solution to this problem must resolve the following forces: Complexity. We would like to make the work of the security administrator as simple as possible. Semantics. In most organizations people are assigned specific functions or tasks. Their rights should correspond to those tasks. Policy. We need to define rights according to organizational policies. Commonality. People performing the same tasks should have the same rights. Policy enforcement. We want to help the organization to define precise access rights for its members according to a need-to-know policy. Flexibility. People joining," leaving and changing functions should not require complex rights manipulation.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,,
"Access Control	Multilevel Security	""How can you control access in an environment with sensitive documents so as to prevent leakage of information? The solution to this problem must resolve the following forces: We need to protect the confidentiality and integrity of data based on its sensitivity. Users have to be allowed to read documents based on their position in the organization. There should be a way to increase or decrease the ability of users to read documents and the sensitivity of the documents. Otherwise", people promoted to higher positions, for example, will not be able to read sensitive documents," and we will end up with a proliferation of sensitive and obsolete documents.""	Security Patterns in Practice	SEC",,,,,,,,,,,,,,
