Category,Word,Frequency
Behavioral,imagin,7
Behavioral,team,1
Behavioral,develop,3
Behavioral,app,15
Behavioral,work,9
Behavioral,geograph,1
Behavioral,inform,2
Behavioral,structur,15
Behavioral,one,21
Behavioral,coloss,1
Behavioral,graph,6
Behavioral,node,14
Behavioral,may,9
Behavioral,repres,10
Behavioral,complex,3
Behavioral,entiti,1
Behavioral,citi,1
Behavioral,also,7
Behavioral,granular,2
Behavioral,thing,4
Behavioral,like,11
Behavioral,industri,1
Behavioral,sightse,1
Behavioral,area,1
Behavioral,etc,2
Behavioral,connect,1
Behavioral,other,4
Behavioral,there,4
Behavioral,’,46
Behavioral,road,2
Behavioral,real,2
Behavioral,object,106
Behavioral,hood,1
Behavioral,type,18
Behavioral,class,75
Behavioral,specif,3
Behavioral,objectat,1
Behavioral,point,5
Behavioral,got,2
Behavioral,task,2
Behavioral,implement,33
Behavioral,export,7
Behavioral,xml,3
Behavioral,format,5
Behavioral,first,4
Behavioral,job,5
Behavioral,seem,1
Behavioral,pretti,1
Behavioral,straightforward,1
Behavioral,plan,4
Behavioral,add,5
Behavioral,method,28
Behavioral,leverag,1
Behavioral,recurs,3
Behavioral,go,6
Behavioral,execut,7
Behavioral,solut,3
Behavioral,simpl,7
Behavioral,eleg,1
Behavioral,thank,1
Behavioral,polymorph,4
Behavioral,weren,2
Behavioral,t,8
Behavioral,coupl,15
Behavioral,code,31
Behavioral,call,9
Behavioral,concret,7
Behavioral,nodesunfortun,1
Behavioral,system,10
Behavioral,architect,1
Behavioral,refus,2
Behavioral,allow,7
Behavioral,alter,2
Behavioral,exist,2
Behavioral,said,2
Behavioral,alreadi,3
Behavioral,product,7
Behavioral,didn,1
Behavioral,want,12
Behavioral,risk,2
Behavioral,break,2
Behavioral,potenti,3
Behavioral,bug,2
Behavioral,changesbesid,1
Behavioral,question,1
Behavioral,whether,2
Behavioral,make,14
Behavioral,sens,1
Behavioral,within,3
Behavioral,primari,3
Behavioral,geodata,1
Behavioral,behavior,12
Behavioral,would,27
Behavioral,look,5
Behavioral,alien,1
Behavioral,therether,1
Behavioral,anoth,9
Behavioral,reason,2
Behavioral,highli,1
Behavioral,featur,5
Behavioral,someon,1
Behavioral,market,1
Behavioral,depart,1
Behavioral,ask,1
Behavioral,provid,8
Behavioral,abil,1
Behavioral,differ,13
Behavioral,request,22
Behavioral,weird,1
Behavioral,stuff,2
Behavioral,forc,1
Behavioral,chang,28
Behavioral,preciou,1
Behavioral,fragil,2
Behavioral,you,11
Behavioral,r,6
